Epoch	Time(sec)	Loss_train
1	1.9652823000000001	93.60437148809433
2	3.4145971999999998	72.79670425876975
3	6.0830896	63.76967247197172
4	7.6130246	59.79901595064439
5	9.1256512	56.79759453074075
6	10.640958099999999	54.30250321229687
7	12.130632199999999	51.9572701540601
8	13.8087179	49.655356609175215
9	16.0034575	47.00165270359139
10	18.6657777	44.6600526166003
11	21.5074831	38.43675568259641
12	24.4067918	34.773912334318084
13	27.3048948	33.40093452738438
14	30.3068174	30.65412670447313
15	33.3555747	28.508378769032333
16	36.4450137	27.386729075893754
17	39.6477606	25.78995684601341
18	42.8448922	24.57622218233402
19	46.085715199999996	22.870585634260223
20	49.3852373	21.204822158944204
21	52.7194313	18.608024204683595
22	56.1316041	17.511844566032835
23	59.5473006	16.892360659332837
24	63.012774799999995	16.40945053213533
25	66.5568747	15.998438805845936
26	70.3279189	15.55820397456533
27	73.9645933	15.17288205053923
28	77.63763089999999	14.756439398123455
29	81.37964649999999	14.387987347264762
30	85.1553122	13.96513067142638
31	89.00439469999999	13.039726173114232
32	92.8548596	12.809016172013642
33	96.7878486	12.551398357791008
34	100.725511	12.311484378709387
35	104.7141275	12.071867596025264
36	108.6855495	11.836587363778925
37	112.7056583	11.57965726021731
38	116.76614839999999	11.347402117155184
39	120.8515598	11.121189092974134
40	124.9617868	10.84276868015197
41	129.12751490000002	10.271060789138915
42	133.3017024	10.087595578085597
43	137.51244	9.934230057578489
44	141.78497180000002	9.758190672173079
45	145.97446100000002	9.610296574744453
46	150.2052624	9.435872586148975
47	154.4568639	9.266181018861445
48	158.7531227	9.109001011868116
49	163.0322912	8.925975594666198
50	167.3312586	8.74912415593932
51	171.6745998	8.428720332118317
52	175.99009370000002	8.307937617260606
53	180.34131240000002	8.205403540972469
54	184.6881304	8.099144161865716
55	189.07544850000002	7.99623771250036
56	193.46118380000001	7.882947305646518
57	197.8130452	7.777885373337469
58	202.1825488	7.665549953777415
59	206.5708825	7.560361014045242
60	210.96600550000002	7.453180055274409
61	215.3717517	7.268756508685691
62	219.77181760000002	7.206449026663577
63	224.17949320000002	7.150263472953512
64	228.5749471	7.095201123562461
65	232.967272	7.042228473580053
66	237.3670367	6.991825056799314
67	241.7758867	6.941873151546311
68	246.4585767	6.889351658740857
69	250.99065530000001	6.843040358826279
70	255.4334867	6.790616225012151
71	260.1055422	6.699409468564667
72	264.5773835	6.670851000760237
73	269.025344	6.645487172495152
74	273.4658211	6.6179661278765
75	277.9320573	6.59368493015198
76	282.3772636	6.568834165411019
77	286.8070649	6.5451114091052744
78	291.2318958	6.519708176795639
79	295.6563736	6.494788912116071
80	300.0748827	6.474169231549759
81	304.4769436	6.431396735239112
82	308.8776724	6.416302053410682
83	313.27616040000004	6.404438772618008
84	317.70637020000004	6.391591243521425
85	322.10648380000003	6.379650909389753
86	326.5168731	6.366092205827002
87	330.9467369	6.35433732456643
88	335.38245820000003	6.341743875474535
89	339.8425808	6.328905578042267
90	344.2749054	6.317710659306144
91	348.6904346	6.296320803858848
92	353.11685800000004	6.288914456993652
93	357.5503092	6.28265763400735
94	361.9929468	6.277721288650909
95	366.4182659	6.269892314174612
96	370.8252565	6.263807697391698
97	375.2509195	6.2583350336555625
98	379.7695647	6.252601405165358
99	384.21351580000004	6.247225525093128
100	388.65312140000003	6.240263793696798
