Epoch	Time(sec)	Loss_train
1	1.5508881	103.44788217544556
2	3.0653773	78.72414634749293
3	4.7001973	67.87451251148013
4	6.3450277	63.31896798440721
5	8.0306067	60.01710010264651
6	11.0756971	57.15417072689161
7	12.7568302	54.27442411030643
8	14.5960632	45.10870950687968
9	16.8922279	27.596107855413265
10	19.6434707	10.782952721339825
11	22.5494309	5.219825740668057
12	25.4665407	2.9604865859253096
13	28.4736948	2.0448831924735487
14	31.6273733	1.037551597634291
15	34.7340486	0.5337321023231922
16	37.9373013	0.32476328219453876
17	41.2092795	0.20855097398268896
18	44.5290861	0.14071819065372893
19	47.9021785	0.109210483424242
20	51.3208577	0.08254442458623146
21	54.7163403	0.06453408678053307
22	58.1520623	0.057552672145448014
23	61.6433403	0.05202397808849213
24	65.1608682	0.046398676613691237
25	68.7186431	0.042721068423212216
26	72.33780569999999	0.037741487547350516
27	76.0012517	0.03345445574026229
28	79.7149463	0.03059357089025383
29	83.4696137	0.02653172462500919
30	87.29151669999999	0.024270538981035372
31	91.1689012	0.022061518348102993
32	95.07025879999999	0.021184999037082264
33	99.02306189999999	0.019336966210921958
34	103.0751547	0.018671655330315673
35	107.06116929999999	0.017199365942367706
36	111.10037469999999	0.01642961406362531
37	115.1838729	0.015279884105190433
38	119.4251422	0.014553446897018318
39	123.8730456	0.013143731109735768
40	128.1304663	0.012250511845039114
41	132.3736369	0.011221204359124215
42	136.6315791	0.011118458582025426
43	140.93866	0.010558106734606554
44	145.2195204	0.01005101009886289
45	149.5753256	0.009580466994350445
46	153.8940859	0.009204327476993512
47	158.19660140000002	0.008721706497816228
48	162.6929379	0.008497450714109789
49	167.0761706	0.008110510319369268
50	171.5065391	0.007560535188716244
51	176.0417727	0.00743083844420056
52	180.45499130000002	0.007105676596957267
53	184.92180190000002	0.007357754935370053
54	189.3799796	0.006929489816577927
55	193.8265321	0.006533009711013449
56	198.2551671	0.006315037922213662
57	202.8925581	0.006053178349503696
58	207.5257652	0.005936454744471575
59	212.0482533	0.005896346827313437
60	216.5886884	0.005319333066637455
61	221.06048560000002	0.005036791433411736
62	225.56653310000002	0.005380302562386419
63	230.07553710000002	0.005194907912780877
64	234.5576313	0.005041993335090922
65	239.0937864	0.004864204533141958
66	243.6025155	0.0048214143788314345
67	248.09369370000002	0.0046756991292937755
68	252.5949453	0.00439575573285822
69	257.0990442	0.004362632535709565
70	261.58444629999997	0.004306302524142325
71	266.09637549999997	0.004101825015190741
72	270.6314364	0.004242179645039812
73	275.1567234	0.003933697597418018
74	279.62818919999995	0.003967566226862118
75	284.11300309999996	0.004024488399828385
76	288.5783217	0.0037876181096621053
77	293.0541601	0.0038464536659148507
78	297.5212635	0.0036008801527458445
79	301.99620219999997	0.003630871361401944
80	306.47371719999995	0.0034781127747365304
81	310.9529035	0.003515766217340399
82	315.42792449999996	0.003392054477977524
83	319.90334079999997	0.003386943556520805
84	324.388033	0.0032821589056979406
85	328.88967479999997	0.0033395137933140973
86	333.36531049999996	0.0031570431492724538
87	337.8454274	0.0031984691439888024
88	342.3276557	0.003229241124003579
89	346.8026768	0.0031917977406337172
90	351.29986169999995	0.0030597871843127677
91	355.77910729999996	0.0029254826574103276
92	360.2694312	0.003012119304408145
93	364.7662992	0.0029030478323051057
94	369.5228998	0.002943331192234666
95	374.11204979999997	0.00278660918201723
96	378.872714	0.002949298733696537
97	383.4704268	0.002837125205253699
98	388.0358315	0.0027770664361668196
99	392.7394878	0.002743355732363284
100	397.28321439999996	0.0027590886140842485
